Date,Saturday Night Live
2024-05-31,3602
2024-06-01,3970
2024-06-02,4899
2024-06-03,4188
2024-06-04,3853
2024-06-05,3750
2024-06-06,3570
2024-06-07,3767
2024-06-08,3616
2024-06-09,4682
2024-06-10,3617
2024-06-11,3442
2024-06-12,3551
2024-06-13,3407
2024-06-14,3272
2024-06-15,3331
2024-06-16,4252
2024-06-17,3553
2024-06-18,3646
2024-06-19,3535
2024-06-20,3260
2024-06-21,3469
2024-06-22,3400
2024-06-23,4317
2024-06-24,4389
2024-06-25,3235
2024-06-26,3569
2024-06-27,3179
2024-06-28,3516
2024-06-29,4700
2024-06-30,4750
2024-07-01,3429
2024-07-02,3145
2024-07-03,3353
2024-07-04,3287
2024-07-05,3236
2024-07-06,3540
2024-07-07,4503
2024-07-08,3536
2024-07-09,3347
2024-07-10,3297
2024-07-11,3989
2024-07-12,4036
2024-07-13,3740
2024-07-14,3523
2024-07-15,3204
2024-07-16,3486
2024-07-17,3299
2024-07-18,3337
2024-07-19,3156
2024-07-20,3623
2024-07-21,4205
2024-07-22,3532
2024-07-23,3445
2024-07-24,3498
2024-07-25,3420
2024-07-26,3324
2024-07-27,3066
2024-07-28,3679
2024-07-29,3625
2024-07-30,3084
2024-07-31,3972
2024-08-01,3802
2024-08-02,4118
2024-08-03,4538
2024-08-04,4017
2024-08-05,3435
2024-08-06,3380
2024-08-07,5250
2024-08-08,11408
2024-08-09,10986
2024-08-10,6161
2024-08-11,6829
2024-08-12,6284
2024-08-13,5915
2024-08-14,5718
2024-08-15,4426
2024-08-16,4494
2024-08-17,4333
2024-08-18,5224
2024-08-19,4404
2024-08-20,4104
2024-08-21,4090
2024-08-22,4305
2024-08-23,3938
2024-08-24,4120
2024-08-25,4930
2024-08-26,4029
2024-08-27,3885
2024-08-28,3911
2024-08-29,3727
2024-08-30,3892
2024-08-31,4048
2024-09-01,5545
2024-09-02,4546
2024-09-03,4079
2024-09-04,3893
2024-09-05,4521
2024-09-06,4639
2024-09-07,4824
2024-09-08,6188
2024-09-09,6119
2024-09-10,9840
2024-09-11,7275
2024-09-12,5865
2024-09-13,5055
2024-09-14,5423
2024-09-15,9006
2024-09-16,7699
2024-09-17,5338
2024-09-18,5747
2024-09-19,6053
2024-09-20,5364
2024-09-21,5512
2024-09-22,6533
2024-09-23,5301
2024-09-24,4896
2024-09-25,4931
2024-09-26,5428
2024-09-27,6962
2024-09-28,7532
2024-09-29,21876
2024-09-30,12978
2024-10-01,8059
2024-10-02,7421
2024-10-03,6843
2024-10-04,6765
2024-10-05,7860
2024-10-06,16302
2024-10-07,11577
2024-10-08,9085
2024-10-09,8243
2024-10-10,7739
2024-10-11,11920
2024-10-12,13326
2024-10-13,22822
2024-10-14,17328
2024-10-15,15378
2024-10-16,13160
2024-10-17,9924
2024-10-18,9527
2024-10-19,10284
2024-10-20,18784
2024-10-21,13812
2024-10-22,9786
2024-10-23,8769
2024-10-24,7782
2024-10-25,7136
2024-10-26,7848
2024-10-27,11328
2024-10-28,7985
2024-10-29,7481
2024-10-30,7017
2024-10-31,6653
2024-11-01,6499
2024-11-02,9134
2024-11-03,29357
2024-11-04,17693
2024-11-05,8884
2024-11-06,6538
2024-11-07,6081
2024-11-08,6111
2024-11-09,6949
2024-11-10,15955
2024-11-11,10245
2024-11-12,9197
2024-11-13,9561
2024-11-14,8578
2024-11-15,8060
2024-11-16,9004
2024-11-17,19442
2024-11-18,13719
2024-11-19,9856
2024-11-20,8306
2024-11-21,7576
2024-11-22,7372
2024-11-23,8048
2024-11-24,10208
2024-11-25,7436
2024-11-26,6179
2024-11-27,6059
2024-11-28,7754
2024-11-29,6725
2024-11-30,7423
2024-12-01,8379
2024-12-02,6658
2024-12-03,6693
2024-12-04,5719
2024-12-05,6155
2024-12-06,6438
2024-12-07,6877
2024-12-08,12321
2024-12-09,9154
2024-12-10,6825
2024-12-11,6335
2024-12-12,5883
2024-12-13,5819
2024-12-14,6645
2024-12-15,13272
2024-12-16,8445
2024-12-17,6331
2024-12-18,5717
2024-12-19,6801
2024-12-20,5630
2024-12-21,6441
2024-12-22,16448
2024-12-23,11818
2024-12-24,10211
2024-12-25,10969
2024-12-26,8303
2024-12-27,7450
2024-12-28,7757
2024-12-29,9611
2024-12-30,9138
2024-12-31,7975
